id;name;guid;last;federalDistrict;guidCountry
65;Республика Северная Осетия - Алания;de459e9c-2933-4923-83d1-9c64cfd7a817;Y;8;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
81;Чеченская Республика;de67dc49-b9ba-48a3-a4cc-c2ebfeca6c5e;Y;8;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
26;Самарская область;df3d7359-afa9-4aaa-8ff9-197e73906b1c;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
44;Саратовская область;df594e0e-a935-4664-9d26-0bae13f904fe;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
34;Новгородская область;e5a84b81-8ea1-49e3-b3c4-0528651be129;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
47;Смоленская область;e8502180-6d08-431b-83ea-c7038f0df905;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
14;Вологодская область;ed36085a-b2f5-454f-b9a9-1c9a678ee618;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
28;Курская область;ee594d5e-30a9-40dc-b9f2-0add1be44ba1;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
42;Ростовская область;f10763dc-63e3-48db-83e1-9c566fe3092b;Y;2;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
79;Чукотский автономный округ;f136159b-404a-4f1f-8d8d-d169e1374d5c;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
11;Брянская область;f5807226-8be0-4ea8-91fc-39d053aec1e2;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
3389;Псковская область;f6e148a1-c9d0-4141-a608-93e3bd95e6c4;Y;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
54;Ульяновская область;fee76045-fe22-43a4-ad58-ad99e903bd58;Y;7;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
41;Псковская область (до 17.11.2017);f6e148a1-c9d0-4141-a608-93e3bd95e6c4;N;3;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
30;Липецкая область;1490490e-49c5-421c-9572-5673ba5d80c8;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
1019;г. Севастополь;6fdecb78-893a-4e3f-a5ba-aa062459463b;Y;9;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
1018;Республика Крым;bd8e6511-e4b9-4841-90de-6bbc231a789e;Y;9;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
2;Краснодарский край;d00e1013-16bd-4c09-b3d5-3cb09fc54bd8;Y;2;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
73;Республика Адыгея;d8327a56-80de-4df2-815c-4f6ab1224c50;Y;2;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
59;Кабардино-Балкарская Республика;1781f74e-be4a-4697-9c6b-493057c94818;Y;8;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
21;Калужская область;18133adf-90c2-438e-88c4-62c41656de70;Y;1;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
31;Магаданская область;9c05e812-8679-4710-b8cb-5e8bd43cdf48;Y;4;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
69;Республика Ингушетия;b2d8cd20-cabc-4deb-afad-f3c4b4d55821;Y;8;74a3cbb1-56fa-94f3-ab3f-e8db4940d96b
