guid;name;alpha2;alpha3;numCode
ec5d7ba0-b287-b796-7864-c2500837cf02;Филиппины;PH;PHL;608
ca685f0f-caf3-4909-a80e-82e0a571c845;Питкерн;PN;PCN;612
19862822-4d86-18ab-5a5d-0bf802100cd9;Польша;PL;POL;616
43d8dec5-038b-5bb6-043b-2cf30b5df51f;Португалия;PT;PRT;620
c13d3453-9f1a-65f5-78e6-1b6d5282680e;Гвинея-Бисау;GW;GNB;624
601fd5e7-88d6-4f59-8bb7-f432b9a871f0;Тимор-Лесте;TL;TLS;626
c7a93cc2-d4c4-0c25-c5af-b1079f0776b8;Пуэрто-Рико;PR;PRI;630
85b85782-95c7-dadc-7a99-8b968244f15f;Катар;QA;QAT;634
db7d0ca7-dac4-9a47-e0e4-863a9bb9b7b6;Реюньон;RE;REU;638
fbc3966c-b2cb-3c69-698b-f80e05074a08;Румыния;RO;ROU;642
74a3cbb1-56fa-94f3-ab3f-e8db4940d96b;Российская Федерация;RU;RUS;643
f77f6ba8-4a31-73bc-26aa-0122665abdf6;Руанда;RW;RWA;646
abdec3cf-2018-4571-a0e4-c79d5683c1dd;Сен-Бартелеми;BL;BLM;652
5dd05e7a-961d-4a38-96f1-570166dadf39;Святая Елена, Остров Вознесения, Тристан-да-Кунья;SH;SHN;654
46e06ab3-005b-765e-0dcd-16a68c885c32;Сент-Китс и Невис;KN;KNA;659
ec91f50a-6ebd-27e1-e60f-1bd1df76210b;Ангилья;AI;AIA;660
05fea6a1-fdb9-ee3c-9ce8-c672760e8005;Сент-Люсия;LC;LCA;662
7af1b462-2a07-4055-b1aa-83351e0fcb3c;Сен-Мартен;MF;MAF;663
658c97ba-8df8-a56b-5be0-319080692394;Сен-Пьер и Микелон;PM;SPM;666
b8425125-0f92-86cc-54fd-665a7cac1a1f;Сент-Винсент и Гренадины;VC;VCT;670
8aaaab3c-1c1d-e392-7a9b-a87a87c80034;Сан-Марино;SM;SMR;674
d7339579-2b28-822a-2dcc-9c90803d65d0;Сан-Томе и Принсипи;ST;STP;678
141d2fb2-30e2-5b71-c5a2-08c4eb4b61db;Саудовская Аравия;SA;SAU;682
29d72acb-ccb8-6806-8847-7e8c80d136b4;Сенегал;SN;SEN;686
6711116e-b6d3-cbfa-5f0b-bc6e5dca6bf4;Сербия;RS;SRB;688
0b82dbb9-057d-abce-7169-dd9c6ebee5d4;Сейшелы;SC;SYC;690
20e286eb-f548-6c22-a2fb-44b3c653cd2e;Сьерра-Леоне;SL;SLE;694
92cff388-9ca3-4d10-7d70-dfcfe5d2a937;Сингапур;SG;SGP;702
d4854ee1-9b80-14af-16fb-cf1e8fbbae00;Словакия;SK;SVK;703
4ca20feb-6a9e-126e-b9cf-8ab92a042fab;Вьетнам;VN;VNM;704
36ab2a92-058c-b2cf-5fc0-5a9659c23b4e;Словения;SI;SVN;705
f08e97c2-dcaf-df32-3dc6-89d70d169e91;Сомали;SO;SOM;706
a5ac9a4e-29e9-87e8-022b-58403a25796c;Южная Африка;ZA;ZAF;710
831dc3ac-e858-cefb-0b31-a2b7331c1d7e;Зимбабве;ZW;ZWE;716
